,/g/11hy9m64ws,/g/11j30ybfx6,/g/11q4gh4b8f,/m/0b7k33,/m/0cycc,9mm,Naloxone,bronchiolitis,drug overdose,heat exhaustion,heat stroke,influenza,narcan,nirsevimab,overdose,rsv,shotgun
US-NH-500,85.30629300017856,41.71651857454663,0.7299381185122111,33.95653923052648,3392.49719422373,871.2112756255674,53.25764145761851,24.45824330387732,51.938011286232474,48.693723572862545,82.28610071549984,366.16884180376684,91.38365214834361,0.25186557959286604,676.4116538271039,382.38051792249036,1308.0350223951841
US-NY-501,83.52921203605567,31.471108627300847,1.3733614722445449,22.969202901035697,2996.307812182131,331.08384600660725,39.546277254533855,29.692070415318003,41.65992207997957,28.13301955975698,51.71051627657355,229.35863777297567,60.84677093087867,1.2134627620500198,505.67366215623304,303.48690973456405,689.5475592048188
US-NY-502,121.5574488235893,37.31815178814001,0.9847102758363873,29.07016035825779,3368.426008980038,568.7062400939436,54.471417633581375,15.305694840843604,38.75331143736775,30.12968244735946,49.57972764867503,261.11218474923936,105.40720895676438,0.562407922130459,725.2347061752165,485.5029249705707,1490.1095675163992
US-GA-503,100.99539031293482,25.30899670532222,0.2545030972165165,23.494878435106514,2942.0193638062096,1306.6307627655167,29.4739751108675,22.263280389131545,31.20050179699031,45.937949111496955,74.94516068416291,186.87522345071292,56.349123858311515,0.3741747924496477,526.8686579037643,409.0705443781648,1766.6357438326415
US-PA-504,88.92931185314963,39.30763220091958,1.2616130149587694,30.845671614085397,3179.409483492336,663.1011045577487,50.506687546841775,37.81349220768579,51.655410576879746,42.43498007289128,63.59846558013633,253.53630143967465,80.92905457630332,1.0641498396286377,617.1407613784123,369.3517154290076,938.636474546686
US-MI-505,93.53419747470251,35.15537837746561,0.9227664999482423,34.86314104644248,3134.729449778045,908.3509980727233,44.14023103531667,31.922589068256993,45.93156589536225,38.14272851444901,62.52314554362199,376.61759110012724,71.7059935510357,0.8086746557865119,611.9175238530943,417.6387679306573,1134.0148321911945
US-NH-506,97.11606435755212,43.92253326155179,1.9408050726290305,31.79173669863142,3350.42403551121,467.7161304832652,47.560283445304606,34.29286599570324,50.443297865163935,33.9969668302927,63.94456477187114,276.4709768603532,85.43194922872212,1.619165880939206,619.7203683890124,383.9255936776137,758.7271833444189
US-SC-507,90.21756553301178,28.75719334584896,0.036337797043161126,24.586587221332216,2881.69579956039,1167.7405233473298,32.68025532623056,20.679192965065372,31.711997716635494,54.28438845307502,71.64250724053373,204.5009203753956,54.80827815876126,0.5758426030803258,548.4655991261147,367.07924887708566,1608.337508163589
US-PA-508,95.90488353570467,39.90897374268234,1.3615826779945714,37.854315964227716,3324.557206759843,972.096499260372,58.638267283727046,40.42168517078737,59.60650051712267,43.85721908460874,66.08080437970685,297.4091165297229,97.16411461702566,1.0542241196625444,713.6880965781303,412.32525732883914,1307.540748620239
US-OH-509,85.68512779708168,28.09790490027018,0.05802827596670262,32.95101679024745,3201.4694061885084,1233.7819003639825,34.78716546829619,27.278682960978845,35.549784873784986,44.86003653665501,58.5664370598859,468.2383679728785,73.29616304281417,0.7706438294596862,599.7023888703552,405.9218485238443,1464.7692027371427
US-OH-510,100.58097141270778,36.25628287933891,1.0467021473888918,35.71971502244925,3140.9513957999375,1036.025432138033,43.37405404170322,34.22576131149696,53.35519742981428,40.47484078910271,66.42361154879674,318.4402799978258,80.11637653333264,0.8660617031809433,665.8670585830923,422.7895601764657,1229.3167039714067
US-WV-511,83.08223729796796,37.911074991696516,1.6749896786419622,22.78606054796672,3175.3421995637327,637.3792563478461,44.824656648406545,27.88075447931487,43.528496140272246,39.54986125225715,59.15776903179796,329.1150967358499,61.100812276574686,1.4123170276709232,514.9250106546918,349.5110341379458,928.4987225077335
US-MD-512,93.49810497213993,38.438659302052386,1.1761384590164399,29.151373810349217,3350.0206560518077,620.295062756506,60.96746197831541,32.83171542970563,52.12178527083507,42.79809110892266,66.57973230631083,295.8091756427387,80.38974901621515,0.9399828645189032,622.4730731755773,402.0927469283122,1064.8908001653265
US-MI-513,104.96838274594761,34.534765703889434,0.049462294779409534,37.00959664980173,3188.850702380656,1114.4356368263295,40.318913804676015,27.82534442911216,45.5527984247622,40.23288008478067,67.26026112206254,495.19551934481285,80.78574979170293,0.0,694.8288836015467,472.1719893435252,1603.390482603903
US-PA-514,96.58226428970603,33.899244019161294,0.1608631726970257,39.368324481045484,3187.863840244465,519.7421012140402,45.34416933827307,26.365391634693466,47.62507075350032,35.64118036184126,57.49128591209661,293.900386650436,95.29814043618495,0.32764185046333516,668.3686378885918,432.36536477302565,1269.1349170914016
US-OH-515,94.51594957920697,35.1951103932478,0.5181288580169054,37.21453944333432,3308.358650986351,1099.2327990299832,44.729316024116386,43.3728526954676,50.72166702833301,44.84346051113521,63.44756260435068,266.61436781435845,85.98883973419483,0.33637876183289267,646.6121497622778,382.8092972317366,1305.317477922296
US-PA-516,113.5739784442786,34.66941102959915,0.7350181191480741,37.16435956912905,3265.517908002497,999.0394954099446,50.862603059624774,16.355901501724954,40.7894059936125,32.378860051683894,51.81040726559678,419.3888681070739,78.51654442748229,0.1045927249062451,710.8508277191429,459.50934783655657,1500.411094059984
