,/g/11hy9m64ws,/g/11j30ybfx6,/g/11q4gh4b8f,/m/0b7k33,/m/0cycc,9mm,Naloxone,bronchiolitis,drug overdose,heat exhaustion,heat stroke,influenza,narcan,nirsevimab,overdose,rsv,shotgun
US-NH-500,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-NY-501,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-NY-502,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-GA-503,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-PA-504,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MI-505,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-NH-506,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-SC-507,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-PA-508,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-OH-509,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-OH-510,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-WV-511,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MD-512,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MI-513,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-PA-514,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-OH-515,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-PA-516,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-SC-517,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-NC-518,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-SC-519,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-SC-520,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MA-521,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-GA-522,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-VT-523,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-GA-524,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-GA-525,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-NY-526,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-IN-527,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-FL-528,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-KY-529,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-GA-530,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-VA-531,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-NY-532,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-CT-533,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-FL-534,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-OH-535,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-PA-536,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-ME-537,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-NY-538,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-FL-539,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MI-540,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-KY-541,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-OH-542,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MA-543,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
